"","Signature","Microbe","value"
"261","others","Myroides profundi",0.0165325285043595
"262","stromal","Myroides profundi",0.063514419852448
"263","immune","Myroides profundi",-0.0772300469483568
"264","immune_ILC","Myroides profundi",-0.056673373574782
"265","immune_Mono.Macro","Myroides profundi",-0.0633802816901408
"266","immune_pDC","Myroides profundi",-0.0449698189134809
"267","immune_DC","Myroides profundi",-0.0612005365526492
"268","immune_Neutrophils","Myroides profundi",-0.0871227364185111
"269","immune_Mast","Myroides profundi",-0.0405432595573441
"270","immune_NK","Myroides profundi",-0.0553319919517103
"271","immune_CD4Tconv","Myroides profundi",-0.0834674714956405
"272","immune_Treg","Myroides profundi",-0.127397719651241
"273","immune_TMKI67","Myroides profundi",-0.0572099262240107
"274","immune_CD8Tex","Myroides profundi",-0.0419517102615694
"275","immune_CD8T","Myroides profundi",-0.0107981220657277
"276","immune_Plasma","Myroides profundi",-0.193628437290409
"277","immune_B","Myroides profundi",-0.154460093896714
"278","minor_Monocyte","Myroides profundi",-0.104828973843058
"279","minor_M2","Myroides profundi",-0.0337692823608317
"280","minor_M1","Myroides profundi",-0.0703890006706908
"281","minor_cDC2","Myroides profundi",-0.0722334004024145
"282","minor_cDC1","Myroides profundi",-0.162206572769953
"283","minor_Th17","Myroides profundi",-0.0607981220657277
"284","minor_Th2","Myroides profundi",-0.200704225352113
"285","minor_Th1","Myroides profundi",-0.0982897384305835
"286","minor_CD4Teff","Myroides profundi",-0.000234741784037559
"287","minor_CD4Tn","Myroides profundi",-0.0131790744466801
"288","minor_MAIT","Myroides profundi",0.0843058350100604
"289","minor_CD8Teff","Myroides profundi",-0.0110999329309188
"290","minor_CD8Tem","Myroides profundi",-0.0399731723675386
"291","minor_CD8Tcm","Myroides profundi",0.00506371562709591
"292","minor_CD8Tn","Myroides profundi",-0.0893695506371563
"293","stromal_Others","Myroides profundi",-0.0720321931589537
"294","stromal_Myofibroblasts","Myroides profundi",0.203990610328638
"295","stromal_Fibroblasts","Myroides profundi",0.049027498323273
"296","stromal_Endothelial","Myroides profundi",0.0279678068410463
"297","malignant","Nocardia mangyaensis",0.12280348759222
"298","others","Nocardia mangyaensis",0.124144869215292
"299","stromal","Nocardia mangyaensis",0.0297786720321932
"300","immune","Nocardia mangyaensis",-0.052280348759222
"301","immune_ILC","Nocardia mangyaensis",-0.0342387659289068
"302","immune_Mono.Macro","Nocardia mangyaensis",-0.0168678739101274
"303","immune_pDC","Nocardia mangyaensis",-0.117974513749162
"304","immune_DC","Nocardia mangyaensis",-0.0873910127431254
"305","immune_Neutrophils","Nocardia mangyaensis",-0.000268276324614353
"306","immune_Mast","Nocardia mangyaensis",-0.0358819584171697
"307","immune_NK","Nocardia mangyaensis",-0.0210261569416499
"308","immune_CD4Tconv","Nocardia mangyaensis",-0.0286384976525822
"309","immune_Treg","Nocardia mangyaensis",-0.123608316566063
"310","immune_TMKI67","Nocardia mangyaensis",-0.0409456740442656
"311","immune_CD8Tex","Nocardia mangyaensis",-0.0343729040912139
"312","immune_CD8T","Nocardia mangyaensis",-0.032897384305835
"313","immune_Plasma","Nocardia mangyaensis",-0.0185781354795439
"314","immune_B","Nocardia mangyaensis",-0.0773977196512408
"315","minor_Monocyte","Nocardia mangyaensis",0.0369215291750503
"316","minor_M2","Nocardia mangyaensis",0.0276324614352783
"317","minor_M1","Nocardia mangyaensis",-0.0301140174379611
"318","minor_cDC2","Nocardia mangyaensis",-0.0844735077129443
"319","minor_cDC1","Nocardia mangyaensis",0.0373910127431254
"320","minor_Th17","Nocardia mangyaensis",-0.135244802146211
"321","minor_Th2","Nocardia mangyaensis",0.0955734406438632
"322","minor_Th1","Nocardia mangyaensis",0.0507712944332663
"323","minor_CD4Teff","Nocardia mangyaensis",-0.0935278336686787
"324","minor_CD4Tn","Nocardia mangyaensis",-0.0323608316566063
"325","minor_MAIT","Nocardia mangyaensis",-0.0518779342723005
"326","minor_CD8Teff","Nocardia mangyaensis",-0.115727699530516
"327","minor_CD8Tem","Nocardia mangyaensis",-0.022468142186452
"328","minor_CD8Tcm","Nocardia mangyaensis",-0.0115358819584172
"329","minor_CD8Tn","Nocardia mangyaensis",0.00563380281690141
"330","stromal_Others","Nocardia mangyaensis",0.0803152246814219
"331","stromal_Myofibroblasts","Nocardia mangyaensis",-0.00315224681421865
"332","stromal_Fibroblasts","Nocardia mangyaensis",0.00543259557344064
"333","stromal_Endothelial","Nocardia mangyaensis",0.0657276995305164
"334","malignant","Plasmodium sp. gorilla clade G2",0.212407780013414
"335","others","Plasmodium sp. gorilla clade G2",0.123205902079142
"336","stromal","Plasmodium sp. gorilla clade G2",0.0285378940308518
"337","immune","Plasmodium sp. gorilla clade G2",0.0143863179074447
"338","immune_ILC","Plasmodium sp. gorilla clade G2",-0.0454728370221328
"339","immune_Mono.Macro","Plasmodium sp. gorilla clade G2",-0.0062709590878605
"340","immune_pDC","Plasmodium sp. gorilla clade G2",-0.0273977196512408
"341","immune_DC","Plasmodium sp. gorilla clade G2",0.0124748490945674
"342","immune_Neutrophils","Plasmodium sp. gorilla clade G2",-0.00687458081824279
"343","immune_Mast","Plasmodium sp. gorilla clade G2",-0.0439973172367539
"344","immune_NK","Plasmodium sp. gorilla clade G2",0.00238095238095238
"345","immune_CD4Tconv","Plasmodium sp. gorilla clade G2",0.0311535881958417
"346","immune_Treg","Plasmodium sp. gorilla clade G2",-0.0217303822937626
"347","immune_TMKI67","Plasmodium sp. gorilla clade G2",0.0984238765928907
"348","immune_CD8Tex","Plasmodium sp. gorilla clade G2",-0.0211267605633803
"349","immune_CD8T","Plasmodium sp. gorilla clade G2",-0.0250167672702884
"350","immune_Plasma","Plasmodium sp. gorilla clade G2",0.135546613011402
"351","immune_B","Plasmodium sp. gorilla clade G2",0.135077129443327
"352","minor_Monocyte","Plasmodium sp. gorilla clade G2",-0.0345741113346747
"353","minor_M2","Plasmodium sp. gorilla clade G2",-0.0323943661971831
"354","minor_M1","Plasmodium sp. gorilla clade G2",0.00298457411133467
"355","minor_cDC2","Plasmodium sp. gorilla clade G2",0.0122736418511066
"356","minor_cDC1","Plasmodium sp. gorilla clade G2",0.11307847082495
"357","minor_Th17","Plasmodium sp. gorilla clade G2",-0.035177733065057
"358","minor_Th2","Plasmodium sp. gorilla clade G2",0.150402414486922
"359","minor_Th1","Plasmodium sp. gorilla clade G2",0.0597250167672703
"360","minor_CD4Teff","Plasmodium sp. gorilla clade G2",0.0244131455399061
"361","minor_CD4Tn","Plasmodium sp. gorilla clade G2",0.0134138162307176
"362","minor_MAIT","Plasmodium sp. gorilla clade G2",0.0314889336016097
"363","minor_CD8Teff","Plasmodium sp. gorilla clade G2",-0.0182763246143528
"364","minor_CD8Tem","Plasmodium sp. gorilla clade G2",-0.0147887323943662
"365","minor_CD8Tcm","Plasmodium sp. gorilla clade G2",-0.0342387659289068
"366","minor_CD8Tn","Plasmodium sp. gorilla clade G2",0.031757209926224
"367","stromal_Others","Plasmodium sp. gorilla clade G2",0.144265593561368
"368","stromal_Myofibroblasts","Plasmodium sp. gorilla clade G2",0.00710932260228035
"369","stromal_Fibroblasts","Plasmodium sp. gorilla clade G2",0.0363849765258216
"370","stromal_Endothelial","Plasmodium sp. gorilla clade G2",0.0257209926224011
"371","malignant","Porphyromonas asaccharolytica",0.079309188464118
"372","others","Porphyromonas asaccharolytica",0.181388329979879
"373","stromal","Porphyromonas asaccharolytica",0.138296445338699
"374","immune","Porphyromonas asaccharolytica",0.317940979208585
"375","immune_ILC","Porphyromonas asaccharolytica",0.264419852448021
"376","immune_Mono.Macro","Porphyromonas asaccharolytica",0.326592890677398
"377","immune_pDC","Porphyromonas asaccharolytica",0.326425217974514
"378","immune_DC","Porphyromonas asaccharolytica",0.290308517773307
"379","immune_Neutrophils","Porphyromonas asaccharolytica",0.311971830985915
"380","immune_Mast","Porphyromonas asaccharolytica",0.286586183769282
"381","immune_NK","Porphyromonas asaccharolytica",0.345774647887324
"382","immune_CD4Tconv","Porphyromonas asaccharolytica",0.25251509054326
"383","immune_Treg","Porphyromonas asaccharolytica",0.313648558014755
"384","immune_TMKI67","Porphyromonas asaccharolytica",-0.0591884641180416
"385","immune_CD8Tex","Porphyromonas asaccharolytica",0.306270959087861
"386","immune_CD8T","Porphyromonas asaccharolytica",0.280818242790074
"387","immune_Plasma","Porphyromonas asaccharolytica",0.342655935613682
"388","immune_B","Porphyromonas asaccharolytica",0.346747149564051
"389","minor_Monocyte","Porphyromonas asaccharolytica",0.275385647216633
"390","minor_M2","Porphyromonas asaccharolytica",0.197149564050973
"391","minor_M1","Porphyromonas asaccharolytica",0.330784708249497
"392","minor_cDC2","Porphyromonas asaccharolytica",0.277632461435278
"393","minor_cDC1","Porphyromonas asaccharolytica",-0.00600268276324614
"394","minor_Th17","Porphyromonas asaccharolytica",0.230382293762575
"395","minor_Th2","Porphyromonas asaccharolytica",-0.0238430583501006
"396","minor_Th1","Porphyromonas asaccharolytica",0.167337357478203
"397","minor_CD4Teff","Porphyromonas asaccharolytica",0.339168343393696
"398","minor_CD4Tn","Porphyromonas asaccharolytica",0.271797451374916
"399","minor_MAIT","Porphyromonas asaccharolytica",0.168947015425889
"400","minor_CD8Teff","Porphyromonas asaccharolytica",0.297183098591549
"401","minor_CD8Tem","Porphyromonas asaccharolytica",0.234875922199866
"402","minor_CD8Tcm","Porphyromonas asaccharolytica",0.297887323943662
"403","minor_CD8Tn","Porphyromonas asaccharolytica",0.259859154929577
"404","stromal_Others","Porphyromonas asaccharolytica",-0.0945674044265594
"405","stromal_Myofibroblasts","Porphyromonas asaccharolytica",0.0747149564050972
"406","stromal_Fibroblasts","Porphyromonas asaccharolytica",0.119181757209926
"407","stromal_Endothelial","Porphyromonas asaccharolytica",0.215425888665325
"408","malignant","Proteus virus Isfahan",0.07719651240778
"409","others","Proteus virus Isfahan",0.0946009389671361
"410","stromal","Proteus virus Isfahan",0.0313212608987257
"411","immune","Proteus virus Isfahan",-0.0487592219986586
"412","immune_ILC","Proteus virus Isfahan",-0.0741448692152917
"413","immune_Mono.Macro","Proteus virus Isfahan",-0.0315224681421865
"414","immune_pDC","Proteus virus Isfahan",-0.142253521126761
"415","immune_DC","Proteus virus Isfahan",-0.0886653252850436
